,Seat_code,CN_PROP,quickstats_code,CED_NAME_2021,STATE_NAME_2021
0,101,20.0,101,Banks,New South Wales
1,102,19.0,102,Barton,New South Wales
2,103,28.8,103,Bennelong,New South Wales
3,104,15.0,104,Berowra,New South Wales
4,105,13.6,105,Blaxland,New South Wales
5,106,24.5,106,Bradfield,New South Wales
6,115,12.9,115,Fowler,New South Wales
7,117,7.4,117,Grayndler,New South Wales
8,118,5.8,118,Greenway,New South Wales
9,122,12.7,122,Kingsford Smith,New South Wales
10,128,6.2,128,McMahon,New South Wales
11,129,14.7,129,Mitchell,New South Wales
12,132,16.4,132,North Sydney,New South Wales
13,135,14.8,135,Parramatta,New South Wales
14,137,23.2,137,Reid,New South Wales
15,142,17.3,142,Sydney,New South Wales
16,144,13.3,144,Watson,New South Wales
17,146,6.0,146,Werriwa,New South Wales
18,201,14.1,201,Aston,Victoria
19,204,6.1,204,Bruce,Victoria
20,207,28.9,207,Chisholm,Victoria
21,211,13.0,211,Deakin,Victoria
22,214,8.9,214,Fraser,Victoria
23,215,7.6,215,Gellibrand,Victoria
24,217,6.3,217,Goldstein,Victoria
25,220,10.1,220,Higgins,Victoria
26,222,14.8,222,Hotham,Victoria
27,224,6.8,224,Isaacs,Victoria
28,226,19.0,226,Kooyong,Victoria
29,229,7.4,229,Macnamara,Victoria
30,233,16.7,233,Melbourne,Victoria
31,234,26.7,234,Menzies,Victoria
32,302,8.4,302,Bonner,Queensland
33,313,6.0,313,Griffith,Queensland
34,324,15.4,324,Moreton,Queensland
35,327,9.0,327,Rankin,Queensland
36,328,6.5,328,Ryan,Queensland
37,401,8.1,401,Adelaide,South Australia
38,410,9.6,410,Sturt,South Australia
39,502,6.0,502,Burt,Western Australia
40,505,6.5,505,Curtin,Western Australia
41,514,8.3,514,Swan,Western Australia
42,515,16.5,515,Tangney,Western Australia
43,603,5.4,603,Clark,Tasmania
44,802,6.7,802,Canberra,Australian Capital Territory
45,803,7.0,803,Fenner,Australian Capital Territory
