,Seat_code,IN_PROP,quickstats_code,CED_NAME_2021,STATE_NAME_2021
0,108,11.3,108,Chifley,New South Wales
1,118,17.2,118,Greenway,New South Wales
2,125,5.3,125,Macarthur,New South Wales
3,129,9.4,129,Mitchell,New South Wales
4,135,15.4,135,Parramatta,New South Wales
5,146,6.3,146,Werriwa,New South Wales
6,204,6.3,204,Bruce,Victoria
7,205,7.8,205,Calwell,Victoria
8,207,7.1,207,Chisholm,Victoria
9,215,11.2,215,Gellibrand,Victoria
10,218,7.0,218,Gorton,Victoria
11,221,10.6,221,Holt,Victoria
12,227,7.1,227,La Trobe,Victoria
13,228,16.1,228,Lalor,Victoria
14,237,7.7,237,Scullin,Victoria
15,502,6.5,502,Burt,Western Australia
